COMPANY,SYMBOL,BOOK VALUE,CHANGE,D/SHARE,EPS,EPS(CUR),EPS(NQ),EPS(NY),DAY LOW,DAY HIGH,52 LOW,52 HIGH,M. CAP,P/SALE,P/BOOK,DIV RATE,P/E,DIV DATE,PEG
Google Inc.,GOOG,236.698,4.7147,0,34.565,43.53,11.83,51.19,895.62,904.13,636,928,N/A,5.36,3.8,N/A,N/A,N/A,1.38
Green Mountain Co,GMCR,16.878,-0.1581,0,2.905,3.25,0.96,3.79,83.2,85.235,21.33,89.66,N/A,2.99,5,N/A,N/A,N/A,1.73
"Henry Schein, Inc",HSIC,30.157,-0.4358,0,4.613,4.89,1.4,5.42,104.7,106,73.35,107.75,N/A,0.98,3.5,N/A,N/A,N/A,2.01
Intel Corporation,INTC,10.809,-0.1399,0.9,1.851,1.87,0.54,1.97,23.5704,23.96,19.23,25.98,N/A,2.28,2.21,5-Aug,N/A,1-Sep,1.76
Intuit Inc.,INTU,11.849,0.4137,0.68,2.836,3.54,0.46,3.98,66.5,67.34,55.54,68.41,N/A,4.75,5.61,8-Jul,N/A,18-Oct,1.32
Intuitive Surgica,ISRG,93.673,4.6973,0,17.19,15.8,3.92,17.44,368.46,375.74,357.02,585.67,N/A,6.29,3.95,N/A,N/A,N/A,1.78
KLA-Tencor Corpor,KLAC,21.048,-0.5027,1.65,3.21,3.91,0.95,4.64,61.17,62.07,43.21,62.45,N/A,3.6,2.93,14-Aug,N/A,3-Sep,1.03
Kraft Foods Group,KRFT,7.22,0.0491,1.5,3.055,2.8,0.59,3.21,53.8,54.45,42,58.76,N/A,1.75,7.48,26-Jun,N/A,12-Jul,2.98
Liberty Global pl,LBTYA,30.212,-0.8886,0,-1.361,1.5,0.74,2.66,78.3,79.91,54.05,82.5,N/A,2.82,2.62, 7-Sep-05,N/A,N/A,1.28
Liberty Interacti,LINTA,13.671,0.3834,0,2.535,1.04,0.46,1.32,24.1,24.55,17.97,25.25,N/A,1.18,1.77,N/A,N/A,N/A,1.2
Liberty Media Cor,LMCA,119.296,-0.8443,0,69.792,68.4,0.91,3.27,147.85,150.8,101,150.8,N/A,4.86,1.25,N/A,N/A,N/A,0.44
Linear Technology,LLTC,4.214,-0.3316,1.03,1.71,1.99,0.48,2.37,40.09,40.58,30.79,42.82,N/A,7.35,9.6,14-Aug,N/A,28-Aug,1.94
"Mattel, Inc.",MAT,8.463,-0.3615,1.39,2.228,2.69,1.23,3.01,43.03,43.9,34.85,48.48,N/A,2.3,5.13,26-Aug,N/A,20-Sep,2.03
Maxim Integrated ,MXIM,8.72,-0.0193,0.98,1.519,1.67,0.41,1.97,29.58,29.92,25.54,33.67,N/A,3.47,3.41,20-Aug,N/A,5-Sep,1.48
Microchip Technol,MCHP,9.905,-0.2048,1.412,0.609,2.37,0.59,2.65,40.24,40.61,28.92,41.78,N/A,4.72,4.08,19-Aug,N/A,4-Sep,1.42
Micron Technology,MU,7.082,0.065,0,-0.75,-0.25,0.39,1.98,17.13,17.49,5.16,17.59,N/A,2.18,2.42, 7-May-96,N/A,N/A,N/A
Microsoft Corpora,MSFT,9.479,-0.8238,0.92,2.58,2.76,0.76,3.02,32.685,33.48,26.26,36.43,N/A,3.6,3.55,13-Aug,N/A,12-Sep,1.4
Mondelez Internat,MDLZ,17.638,-0.6206,14.693,1.319,1.55,0.43,1.72,32.255,32.9,24.5,42.54,N/A,1.67,1.87,27-Jun,N/A,15-Oct,1.9
Monster Beverage ,MNST,5.115,-0.2652,0,1.835,2.06,0.48,2.48,53.85,56.02,39.99,66.12,N/A,4.42,10.98,N/A,N/A,N/A,1.71
Mylan Inc.,MYL,7.672,0.3214,0,1.63,2.87,0.79,3.35,38.42,39.03,23.25,39.41,N/A,2.13,5,27-Jun-07,N/A,N/A,1.4
"NetApp, Inc.",NTAP,11.752,-1.0947,0.15,1.434,2.75,0.74,3.14,43.17,44.12,26.26,44.65,N/A,2.35,3.77,9-Jul,N/A,25-Oct,1.22
"Netflix, Inc.",NFLX,18.764,8.3047,0,0.803,1.49,0.45,3.33,305.62,315.8875,53.05,315.89,N/A,4.56,16.28,N/A,N/A,N/A,9.11
Nuance Communicat,NUAN,8.47,-0.128,0,0.107,1.32,0.33,1.41,19.175,19.44,17.9,25.33,N/A,3.25,2.29,N/A,N/A,N/A,2.1
NVIDIA Corporatio,NVDA,7.211,-0.1218,0.3,0.905,0.71,0.22,0.8,15.76,16.069,11.15,16.1,N/A,2.17,2.21,20-Aug,N/A,13-Sep,1.87
O'Reilly Automoti,ORLY,18.424,-0.8929,0,5.396,5.93,1.34,6.77,124.98,127.71,78.58,128.45,N/A,2.15,6.87,N/A,N/A,N/A,1.23
PACCAR Inc.,PCAR,17.274,-0.3931,0.8,2.858,3.23,0.91,3.64,57.42,58.42,39.43,60,N/A,1.28,3.36,14-Aug,N/A,5-Dec,1.33
"Paychex, Inc.",PAYX,4.854,-0.1171,1.34,1.56,1.69,0.42,1.81,40.93,41.24,30.55,41.24,N/A,6.46,8.47,30-Jul,N/A,15-Aug,2.43
priceline.com Inc,PCLN,113.757,2.3916,0,30.412,40.09,8.34,49.28,998.075,1007.15,553.97,1007.15,N/A,8.77,8.8,N/A,N/A,N/A,1.23
QUALCOMM Incorpor,QCOM,21.822,-0.3942,1.2,3.765,4.55,1.3,4.96,69,69.89,57.29,70.37,N/A,5.12,3.18,30-Aug,N/A,25-Sep,0.92
Randgold Resource,GOLD,29.317,-3.4347,0.5,3.664,3.12,0.6,4.63,73.32,76.05,60.17,127.27,N/A,5.5,2.62,8-May,N/A,3-Jun,3.2
Regeneron Pharmac,REGN,15.285,-6.2895,0,7.563,3.5,0.94,5.42,299.11,306.9999,136.13,311,N/A,17.25,20.09,N/A,N/A,N/A,3.78
"Ross Stores, Inc.",ROST,8.911,-0.7495,0.65,3.848,3.94,1.08,4.43,71.38,72.67,52.01,72.84,N/A,1.55,8.12,4-Sep,N/A,30-Sep,1.48
SanDisk Corporati,SNDK,30.566,-0.4622,0.225,2.923,4.76,1.41,5.29,59.21,60.51,38.47,63.97,N/A,2.56,1.96,8-Aug,N/A,30-Aug,0.5
SBA Communication,SBAC,3.41,-0.2172,0,-1.298,-0.62,-0.14,-0.18,77.12,77.96,60.69,82.31,N/A,8.46,22.71,N/A,N/A,N/A,N/A
Seagate Technolog,STX,9.724,0.0342,1.46,4.81,5.31,1.43,5.88,41.07,41.61,24.9,47.82,N/A,1.03,4.25,5-Aug,N/A,21-Aug,6.72
Sears Holdings Co,SHLD,22.264,0.3538,0,-13.776,-5.84,0.58,-4.03,56.79,59.16,38.4,68.77,N/A,0.16,2.61,N/A,N/A,N/A,0.06
Sigma-Aldrich Cor,SIAL,22.064,-2.0465,0.845,3.86,4.08,1.01,4.36,85.86,87.71,68.22,88.55,N/A,3.99,3.99,28-Aug,N/A,13-Sep,3.24
Sirius XM Radio I,SIRI,0.518,-0.0224,0.05,0.075,0.09,0.03,0.12,3.92,3.99,2.44,3.99,N/A,6.84,7.65,14-Dec-12,N/A,28-Dec-12,1.54
"Staples, Inc.",SPLS,9.121,0.0326,0.46,-0.382,1.23,0.4,1.32,14.73,14.96,10.94,17.3,N/A,0.41,1.62,26-Jun,N/A,17-Oct,2.62
Starbucks Corpora,SBUX,7.644,-0.227,0.84,2.089,2.23,0.69,2.67,76.07,77,44.27,77.84,N/A,3.97,9.99,6-Aug,N/A,23-Aug,1.73
"Stericycle, Inc.",SRCL,18.995,-0.7039,0,3.29,3.71,0.97,4.16,115.56,117.18,88.76,119.59,N/A,4.97,6.17,N/A,N/A,N/A,2.06
Symantec Corporat,SYMC,7.868,-0.072,0.3,1.081,1.9,0.51,2.13,25.09,25.4,17.02,27.1,N/A,2.54,3.2,22-Aug,N/A,18-Sep,1.48
Texas Instruments,TXN,10.051,-0.2683,0.98,1.814,1.94,0.51,2.24,40.51,40.91,26.94,40.94,N/A,3.65,4.06,29-Jul,N/A,19-Aug,2.34
"Tesla Motors, Inc",TSLA,5.183,5.4393,0,-1.946,0.61,0.23,1.84,178.56,185.83,26.86,185.83,N/A,16.33,34.33,N/A,N/A,N/A,15.6
"Verisk Analytics,",VRSK,2.18,-0.5811,0,2.01,2.3,0.62,2.58,65.47,66.44,45.04,66.77,N/A,6.8,30.45,N/A,N/A,N/A,2.25
Vertex Pharmaceut,VRTX,5.696,-0.1382,0,-2.303,-2.43,-0.44,-1.74,75.37,77.75,38.44,89.96,N/A,13.57,13.39,N/A,N/A,N/A,N/A
Viacom Inc.,VIAB,14.249,-0.0593,1.15,4.436,4.61,1.16,5.47,83.015,84.45,47.61,84.6,N/A,2.94,5.84,11-Sep,N/A,1-Oct,1.46
Vodafone Group Pl,VOD,23.49,0.034,1.568,0.14,2.82,0,2.91,33.37,33.75,24.42,34.25,N/A,2.3,1.43,12-Jun,N/A,7-Aug,3.96
Western Digital C,WDC,33.304,-0.699,1,3.98,8.14,2.19,8.35,63.63,64.71,32.25,70.61,N/A,0.99,1.93,26-Jun,N/A,15-Jul,6.88
Whole Foods Marke,WFM,10.167,-0.6782,1.37,1.45,1.46,0.46,1.73,57.75,58.76,40.695,59.35,N/A,1.7,5.76,2-Jul,N/A,8-Oct,2.12
"Wynn Resorts, Lim",WYNN,-0.876,0.6577,11,5.501,6.71,1.58,7.16,153.87,155.87,103.34,155.87,N/A,2.93,N/A,8-Aug,N/A,26-Aug,2.19
"Xilinx, Inc.",XLNX,10.298,-0.6217,0.94,1.883,2.22,0.56,2.5,47.05,47.88,32.12,48.12,N/A,5.87,4.64,5-Aug,N/A,28-Aug,2.19
Yahoo! Inc.,YHOO,12.966,-0.1016,0,3.632,1.47,0.41,1.67,30.76,31.1,15.55,31.1,N/A,6.56,2.39,N/A,N/A,N/A,1.79
